Date,Plant_ID,Product_Line,Production_Quantity,Defective_Units,Downtime_Hours,Machine_Utilization_%,Energy_Cost,Labor_Cost,Maintenance_Cost,Total_Production_Cost,Sales_Quantity,Revenue,Order_Fulfillment_%,Region
2024-03-18,Bengaluru_04,Axle_Component,1148,12,3.4,88.8,58325,90890,22524,171739,1134,830088,95.3,Asia
2024-03-19,Chennai_02,Axle_Component,1400,49,2.6,87.1,44510,94287,13943,152740,1340,1037160,91.3,Europe
2024-03-20,Gurgaon_03,Gear_Assembly,1792,29,1.7,79.8,55417,83381,10687,149485,1732,1191616,89.3,Asia
2024-03-21,Gurgaon_03,Gear_Assembly,978,12,2.9,74.2,57126,70788,12408,140322,942,765846,99.0,India
2024-03-22,Pune_01,EV_Differential,1796,31,3.1,70.8,54029,91433,11612,157074,1749,1381710,89.2,India
2024-03-23,Bengaluru_04,Axle_Component,1495,19,3.3,73.7,49382,83755,9891,143028,1441,1122539,88.1,Europe
2024-03-24,Gurgaon_03,Axle_Component,1091,30,1.4,78.6,47298,92901,21153,161352,1044,817452,92.4,Europe
2024-03-25,Chennai_02,Motor_Shaft,1162,16,3.7,73.5,46473,82368,22328,151169,1093,896260,98.3,India
2024-03-26,Bengaluru_04,EV_Differential,1639,46,3.2,79.4,57408,86493,14196,158097,1590,1097100,98.2,Europe
2024-03-27,Pune_01,Motor_Shaft,1412,25,1.1,74.7,54414,84256,10072,148742,1340,1113540,93.7,Europe
2024-03-28,Pune_01,Gear_Assembly,1768,57,1.7,90.1,39212,78224,14970,132406,1696,1514528,93.9,Europe
2024-03-29,Chennai_02,Motor_Shaft,1702,22,2.2,93.0,41783,78226,16146,136155,1642,1364502,89.9,Europe
2024-03-30,Bengaluru_04,Motor_Shaft,1300,28,1.6,89.5,39757,84097,17395,141249,1242,1053216,98.7,India
2024-03-31,Pune_01,Axle_Component,1429,26,0.8,94.9,58088,85806,16984,160878,1407,1225497,96.2,Europe
2024-04-01,Bengaluru_04,Gear_Assembly,1117,36,2.1,85.6,44692,89861,14311,148864,1068,713424,88.7,Asia
2024-04-02,Gurgaon_03,Gear_Assembly,993,58,2.0,80.0,40797,90522,19342,150661,981,668061,91.0,Europe
2024-04-03,Chennai_02,Motor_Shaft,1179,37,0.6,73.9,54846,80708,18271,153825,1105,780130,90.4,Europe
2024-04-04,Gurgaon_03,Gear_Assembly,1127,58,1.7,84.2,42218,89160,10054,141432,1110,900210,96.9,Asia
2024-04-05,Bengaluru_04,Axle_Component,1613,47,3.9,93.6,57996,86389,22070,166455,1549,1277925,89.0,Asia
2024-04-06,Gurgaon_03,EV_Differential,950,25,0.6,74.5,48859,82692,15705,147256,940,654240,94.9,Europe
2024-04-07,Chennai_02,Gear_Assembly,1185,7,2.6,76.7,49596,65804,20221,135621,1167,1021125,97.5,Europe
2024-04-08,Bengaluru_04,Motor_Shaft,1653,48,1.0,91.7,54063,67106,23086,144255,1630,1072540,94.0,India
2024-04-09,Pune_01,Gear_Assembly,1000,58,2.8,80.5,58193,73633,18372,150198,954,690696,97.0,India
2024-04-10,Chennai_02,Axle_Component,840,42,0.7,80.1,58525,77875,8622,145022,804,567624,90.9,Europe
2024-04-11,Bengaluru_04,Motor_Shaft,1067,49,2.8,74.4,46664,67969,10028,124661,996,767916,92.6,Asia
2024-04-12,Bengaluru_04,Motor_Shaft,1162,5,0.8,85.1,48081,85508,13819,147408,1094,752672,94.7,Asia
2024-04-13,Chennai_02,Gear_Assembly,1422,28,3.8,88.3,56792,91361,14715,162868,1393,1197980,94.5,Europe
2024-04-14,Pune_01,Motor_Shaft,1306,49,1.0,85.6,42617,66524,9120,118261,1257,837162,92.5,India
2024-04-15,Gurgaon_03,Axle_Component,841,29,1.4,90.5,36252,85587,15363,137202,781,680251,88.1,Europe
2024-04-16,Pune_01,Axle_Component,1754,53,1.0,93.8,59366,85491,8341,153198,1737,1514664,96.9,Europe
2024-04-17,Pune_01,Motor_Shaft,1775,10,3.9,92.6,56771,76918,20849,154538,1719,1170639,95.8,Europe
2024-04-18,Pune_01,Gear_Assembly,1593,25,2.2,77.8,39430,73820,11232,124482,1536,1107456,98.7,Europe
2024-04-19,Pune_01,Motor_Shaft,1022,34,0.7,81.4,52850,84945,7614,145409,996,660348,94.6,Europe
2024-04-20,Bengaluru_04,Axle_Component,1612,38,3.6,83.3,55662,88510,19651,163823,1564,1038496,96.8,India
2024-04-21,Chennai_02,EV_Differential,1196,22,2.3,80.7,44323,80229,18713,143265,1132,991632,97.6,Asia
2024-04-22,Gurgaon_03,Gear_Assembly,1580,17,1.8,93.3,42206,74005,23371,139582,1542,1293738,89.0,Asia
2024-04-23,Pune_01,Axle_Component,1496,20,3.6,94.6,39361,72069,24304,135734,1482,1058148,90.6,Europe
2024-04-24,Pune_01,Motor_Shaft,1175,34,3.5,87.9,55772,72832,21286,149890,1151,803398,92.3,Europe
2024-04-25,Chennai_02,EV_Differential,860,41,0.8,80.4,58870,94997,15202,169069,789,572814,98.9,Europe
2024-04-26,Bengaluru_04,Axle_Component,1370,12,3.8,86.2,44076,68564,8389,121029,1304,1130568,88.4,Asia
2024-04-27,Gurgaon_03,Axle_Component,1573,9,0.7,94.2,54120,78832,18362,151314,1544,1190424,93.8,Europe
2024-04-28,Chennai_02,Gear_Assembly,1489,22,2.9,73.8,42906,93645,14287,150838,1412,1116892,97.5,Europe
2024-04-29,Pune_01,Axle_Component,1122,32,2.2,71.1,58265,90931,20774,169970,1073,723202,94.1,Europe
2024-04-30,Chennai_02,Axle_Component,923,19,0.5,87.4,40295,78913,16105,135313,844,578984,90.4,India
2024-05-01,Bengaluru_04,EV_Differential,1772,21,0.7,92.1,51701,67396,8591,127688,1723,1287081,94.0,India
2024-05-02,Pune_01,EV_Differential,1061,28,3.3,86.5,49688,83088,13924,146700,1007,743166,98.2,Europe
2024-05-03,Gurgaon_03,Motor_Shaft,1499,11,3.6,94.0,37808,81370,21870,141048,1448,1139576,97.0,India
2024-05-04,Chennai_02,Gear_Assembly,1726,22,3.4,90.8,35294,75177,16882,127353,1700,1280100,90.9,India
2024-05-05,Gurgaon_03,Axle_Component,1125,23,3.2,83.5,44439,78281,8435,131155,1056,768768,98.3,India
2024-05-06,Chennai_02,Axle_Component,1715,36,3.2,93.7,49527,82424,21859,153810,1684,1337096,94.4,India
2024-05-07,Chennai_02,Motor_Shaft,919,22,3.6,94.3,59860,86195,18939,164994,858,664092,92.2,India
2024-05-08,Gurgaon_03,EV_Differential,1445,51,2.2,89.3,46801,76745,20025,143571,1407,918771,92.7,India
2024-05-09,Pune_01,Gear_Assembly,1070,59,3.4,77.5,53207,92777,20998,166982,1039,885228,91.0,India
2024-05-10,Chennai_02,Axle_Component,1239,32,3.1,92.7,55563,81133,8682,145378,1173,992358,98.8,India
2024-05-11,Chennai_02,Axle_Component,1733,19,3.1,75.0,54440,73984,24175,152599,1712,1141904,97.5,Europe
2024-05-12,Bengaluru_04,Axle_Component,1229,29,3.5,89.4,43782,82434,20997,147213,1170,1044810,88.2,India
2024-05-13,Bengaluru_04,Axle_Component,1492,28,3.7,85.4,59109,65526,10224,134859,1466,1136150,95.5,India
2024-05-14,Chennai_02,Axle_Component,1755,26,2.5,76.7,56847,81967,11167,149981,1725,1150575,95.5,Asia
2024-05-15,Chennai_02,Gear_Assembly,1406,42,1.5,87.4,53427,85581,24162,163170,1346,992002,89.6,India
2024-05-16,Chennai_02,Axle_Component,1262,20,2.2,75.3,37720,73905,16127,127752,1221,1087911,91.6,Asia
2024-05-17,Pune_01,EV_Differential,1544,17,0.8,90.6,59217,82301,17433,158951,1497,1125744,90.2,Asia
2024-05-18,Chennai_02,Gear_Assembly,1793,46,1.1,72.6,41090,89892,13082,144064,1778,1169924,98.3,Europe
2024-05-19,Gurgaon_03,Axle_Component,1352,54,3.8,93.7,38389,90683,20629,149701,1336,1138272,97.8,Asia
2024-05-20,Chennai_02,Motor_Shaft,1209,7,0.6,74.1,39109,78258,22313,139680,1188,874368,95.2,India
2024-05-21,Pune_01,Gear_Assembly,921,23,3.9,78.4,53311,93380,18894,165585,859,714688,88.5,Asia
2024-05-22,Chennai_02,Motor_Shaft,1522,26,1.7,83.6,51002,92547,21025,164574,1478,1238564,88.8,Europe
2024-05-23,Gurgaon_03,EV_Differential,1702,16,1.1,94.0,35956,67071,15595,118622,1656,1081368,96.1,Asia
2024-05-24,Bengaluru_04,Axle_Component,951,54,3.5,84.5,41563,90849,19003,151415,876,637728,97.9,Asia
2024-05-25,Gurgaon_03,Motor_Shaft,1554,55,1.5,79.0,55098,80596,7529,143223,1505,1008350,96.1,Europe
2024-05-26,Chennai_02,Axle_Component,899,52,2.6,85.8,35525,87861,23385,146771,853,612454,88.8,India
2024-05-27,Chennai_02,Motor_Shaft,1627,51,2.6,84.5,38155,73321,10814,122290,1548,1229112,92.3,India
2024-05-28,Bengaluru_04,Motor_Shaft,962,41,0.5,84.7,55939,93599,19588,169126,930,647280,90.6,Asia
2024-05-29,Gurgaon_03,Motor_Shaft,1069,20,2.3,78.4,48149,84816,16472,149437,1055,705795,94.5,India
2024-05-30,Pune_01,Axle_Component,1685,24,1.8,85.1,54118,71116,22563,147797,1639,1144022,97.3,Europe
2024-05-31,Gurgaon_03,Motor_Shaft,1419,24,1.4,71.4,49846,90892,7281,148019,1381,897650,89.3,Asia
2024-06-01,Pune_01,EV_Differential,858,9,0.9,84.6,55969,73467,9289,138725,806,624650,98.5,Asia
2024-06-02,Pune_01,EV_Differential,838,35,1.4,83.0,44110,72595,20605,137310,806,626262,89.5,Asia
2024-06-03,Chennai_02,Axle_Component,1174,12,3.9,72.3,44991,88196,14519,147706,1160,1030080,89.9,Asia
2024-06-04,Pune_01,Gear_Assembly,918,30,1.8,70.4,50504,89089,10719,150312,862,759422,96.5,Europe
2024-06-05,Bengaluru_04,EV_Differential,1613,8,2.9,75.4,49287,78965,16519,144771,1535,1157390,89.2,Asia
2024-06-06,Chennai_02,Axle_Component,1765,13,3.5,94.8,41924,92208,7488,141620,1688,1260936,92.4,Asia
2024-06-07,Bengaluru_04,Motor_Shaft,818,10,3.7,91.9,50638,90426,24772,165836,808,595496,91.3,Europe
2024-06-08,Pune_01,EV_Differential,1454,5,1.8,79.9,44108,77178,9875,131161,1412,985576,94.0,Europe
2024-06-09,Bengaluru_04,Motor_Shaft,1785,15,2.6,86.7,37989,77040,16218,131247,1750,1261750,93.7,Asia
2024-06-10,Bengaluru_04,EV_Differential,1020,30,0.9,73.7,55783,76556,18563,150902,996,689232,96.4,Asia
2024-06-11,Chennai_02,Motor_Shaft,1163,47,0.6,74.9,44206,69431,13542,127179,1129,773365,98.2,Europe
2024-06-12,Bengaluru_04,EV_Differential,940,26,1.2,74.2,52347,72151,10610,135108,902,800976,93.9,Asia
2024-06-13,Bengaluru_04,Motor_Shaft,1457,6,1.5,80.3,55829,84914,8286,149029,1409,1113110,90.0,Europe
2024-06-14,Bengaluru_04,EV_Differential,1737,46,3.7,80.6,47149,66798,16600,130547,1684,1294996,93.8,Europe
2024-06-15,Gurgaon_03,EV_Differential,1686,26,3.4,92.1,54481,69616,23393,147490,1635,1178835,96.5,India
2024-06-16,Chennai_02,Gear_Assembly,1092,8,1.5,90.6,42227,68273,7145,117645,1064,865032,89.6,Europe
2024-06-17,Chennai_02,EV_Differential,1486,53,3.1,91.6,52014,79996,23336,155346,1455,1200375,91.4,Europe
2024-06-18,Bengaluru_04,Gear_Assembly,959,15,1.3,79.8,41652,90016,14421,146089,925,602175,91.0,Europe
2024-06-19,Pune_01,Motor_Shaft,1634,46,2.0,87.9,57986,94670,18543,171199,1565,1087675,89.1,Asia
2024-06-20,Chennai_02,Motor_Shaft,1087,43,3.2,76.6,49052,77640,14843,141535,1075,776150,91.6,Europe
2024-06-21,Chennai_02,EV_Differential,1798,8,2.0,90.8,40051,75756,9475,125282,1762,1425458,93.9,Asia
2024-06-22,Bengaluru_04,Motor_Shaft,866,58,1.3,81.4,43533,70249,16686,130468,827,632655,88.7,Asia
2024-06-23,Bengaluru_04,EV_Differential,1644,33,2.9,75.0,35207,67665,7632,110504,1580,1252940,88.0,Europe
2024-06-24,Bengaluru_04,Motor_Shaft,1036,27,1.9,73.8,57483,93519,15555,166557,962,740740,95.4,Asia
2024-06-25,Chennai_02,Motor_Shaft,1255,43,3.5,85.2,45699,74715,23163,143577,1223,933149,91.8,India
2024-06-26,Pune_01,Motor_Shaft,1786,13,2.3,90.6,44917,88958,10267,144142,1722,1127910,98.1,Europe
2024-06-27,Gurgaon_03,Motor_Shaft,1115,41,1.9,82.5,35560,77329,8826,121715,1076,930740,93.9,Asia
2024-06-28,Chennai_02,Gear_Assembly,1647,11,1.6,72.0,48716,89226,13721,151663,1636,1328432,91.8,Asia
2024-06-29,Bengaluru_04,Motor_Shaft,1336,6,1.0,91.6,55643,73286,12901,141830,1262,957858,97.9,Asia
2024-06-30,Pune_01,Axle_Component,1698,39,1.9,73.7,50476,83913,22751,157140,1668,1459500,93.6,Europe
2024-07-01,Bengaluru_04,EV_Differential,1755,16,3.9,80.8,46916,73734,7845,128495,1726,1372170,91.1,Europe
2024-07-02,Chennai_02,Axle_Component,1660,47,2.7,86.3,41610,71430,14154,127194,1646,1415560,90.1,India
2024-07-03,Chennai_02,Motor_Shaft,1578,54,0.7,87.4,40078,91706,19168,150952,1548,1117656,96.6,Asia
2024-07-04,Gurgaon_03,Gear_Assembly,879,20,0.7,82.7,36638,87055,17340,141033,818,711660,94.9,Asia
2024-07-05,Gurgaon_03,Motor_Shaft,862,41,3.6,81.2,53428,79818,8549,141795,848,705536,92.6,Europe
2024-07-06,Pune_01,Motor_Shaft,1541,19,2.5,87.0,57391,70542,21828,149761,1479,1081149,88.7,India
2024-07-07,Gurgaon_03,EV_Differential,1499,15,2.1,91.1,59345,75749,12827,147921,1456,1020656,90.7,Asia
2024-07-08,Bengaluru_04,Gear_Assembly,1544,33,1.9,81.5,57548,75636,7016,140200,1526,1248268,95.6,India
2024-07-09,Pune_01,Motor_Shaft,1041,44,2.1,85.9,52159,93602,23462,169223,1015,849555,93.0,India
2024-07-10,Gurgaon_03,EV_Differential,1215,48,2.3,87.0,39940,84655,10456,135051,1155,925155,89.2,India
2024-07-11,Pune_01,Axle_Component,1076,44,1.7,77.4,44866,69531,19686,134083,1060,945520,90.0,Europe
2024-07-12,Chennai_02,EV_Differential,1572,34,3.4,71.7,49473,74765,20279,144517,1555,1170915,94.9,Asia
2024-07-13,Gurgaon_03,Motor_Shaft,1762,53,1.4,76.5,44832,91792,19504,156128,1691,1290233,91.5,Europe
2024-07-14,Bengaluru_04,Motor_Shaft,1173,17,2.5,88.7,44503,92935,23905,161343,1149,765234,98.2,Europe
2024-07-15,Pune_01,EV_Differential,1287,18,2.0,85.3,47275,67461,21291,136027,1234,840354,93.5,India
2024-07-16,Bengaluru_04,EV_Differential,1794,36,1.6,92.0,39875,82640,18182,140697,1767,1410066,96.3,India
2024-07-17,Chennai_02,Axle_Component,1101,44,2.5,74.5,44951,93927,17773,156651,1063,703706,89.8,India
2024-07-18,Pune_01,Gear_Assembly,1235,31,3.9,82.2,48718,85567,17517,151802,1183,962962,94.5,Europe
2024-07-19,Gurgaon_03,Motor_Shaft,818,27,2.9,91.8,44496,88679,10300,143475,801,604755,94.1,India
2024-07-20,Bengaluru_04,EV_Differential,1314,5,1.5,74.8,45047,94545,18754,158346,1295,1033410,96.1,Europe
2024-07-21,Gurgaon_03,Gear_Assembly,865,45,1.8,83.5,54363,79933,17473,151769,798,560994,97.2,Asia
2024-07-22,Chennai_02,EV_Differential,1217,57,1.8,78.2,36778,89286,12110,138174,1138,802290,93.5,Asia
2024-07-23,Bengaluru_04,Gear_Assembly,1180,8,3.0,92.2,51610,88705,8828,149143,1117,984077,90.0,Asia
2024-07-24,Chennai_02,Motor_Shaft,1571,49,0.8,84.7,37563,68292,10586,116441,1504,1058816,95.7,Asia
2024-07-25,Bengaluru_04,Motor_Shaft,1469,22,2.6,70.6,46154,77080,10390,133624,1438,1151838,91.7,Asia
2024-07-26,Chennai_02,Motor_Shaft,916,35,3.4,83.0,51044,94411,12469,157924,852,649224,92.8,Asia
2024-07-27,Gurgaon_03,Axle_Component,912,32,3.1,95.0,36019,86621,17028,139668,870,690780,95.0,Europe
2024-07-28,Gurgaon_03,Gear_Assembly,1509,51,3.4,79.6,49472,77889,10471,137832,1431,1285038,94.2,Asia
2024-07-29,Chennai_02,Gear_Assembly,1772,47,0.6,90.8,37757,85304,24833,147894,1728,1200960,90.5,India
2024-07-30,Pune_01,Axle_Component,1732,24,3.3,81.5,57788,75595,22941,156324,1719,1332225,96.0,Asia
2024-07-31,Gurgaon_03,EV_Differential,1591,40,3.2,74.0,49139,72531,11283,132953,1525,1037000,98.1,India
2024-08-01,Bengaluru_04,EV_Differential,1725,28,0.7,77.1,44435,69998,7162,121595,1661,1443409,96.7,Asia
2024-08-02,Bengaluru_04,Axle_Component,981,35,2.1,89.4,57059,74032,12347,143438,916,692496,88.7,Asia
2024-08-03,Gurgaon_03,EV_Differential,1332,8,1.6,89.3,49289,82055,14927,146271,1303,1127095,94.2,Europe
2024-08-04,Pune_01,Motor_Shaft,1465,48,3.3,85.6,55644,83745,8753,148142,1419,1227435,91.7,Europe
2024-08-05,Pune_01,EV_Differential,1183,16,1.7,72.9,42345,94300,22352,158997,1141,832930,98.8,India
2024-08-06,Chennai_02,Axle_Component,1753,47,0.7,87.7,56008,66633,24901,147542,1674,1250478,93.3,India
2024-08-07,Pune_01,Motor_Shaft,821,52,1.3,72.4,46407,77722,19924,144053,773,568155,91.2,Europe
2024-08-08,Bengaluru_04,Motor_Shaft,1755,14,3.9,89.8,45800,70055,17271,133126,1739,1165130,89.8,Europe
2024-08-09,Bengaluru_04,Motor_Shaft,1683,26,0.6,73.2,53133,92251,21939,167323,1660,1334640,98.4,Asia
2024-08-10,Bengaluru_04,Motor_Shaft,1680,6,0.7,81.6,45183,90643,24961,160787,1665,1358640,95.2,India
2024-08-11,Gurgaon_03,Motor_Shaft,1226,23,2.0,74.9,41411,93233,23391,158035,1193,1036717,96.3,India
2024-08-12,Pune_01,Axle_Component,1366,13,1.9,92.9,40223,78521,21889,140633,1297,1116717,94.1,Asia
